

#
# Macro definitions
#
$catalogVersion=catalogVersion(catalog(id[default='outdoors']),version[default='Staged'])[unique=true,default='outdoors:Staged']
$prices=europe1Prices[translator=de.hybris.platform.europe1.jalo.impex.Europe1PricesTranslator]
$baseProduct=baseProduct(code,catalogVersion(catalog(id[default='outdoors']),version[default='Staged']))
$supercategories=supercategories(code,catalogVersion(catalog(id[default='outdoors']),version[default='Staged']))
$picture=picture(code,$catalogVersion)
$thumbnail=thumbnail(code,$catalogVersion)
$medias=medias(code,catalogVersion(catalog(id[default='outdoors']),version[default='Staged']))
$gallery=galleryImages(qualifier,catalogVersion(catalog(id[default='outdoors']),version[default='Staged']))


#
# Create variant product type Shoes
#
$impex.legacy.scripting=true;
#%import de.hybris.platform.jalo.type.Type;
#%import de.hybris.platform.jalo.type.TypeManager;
#%import java.util.Collections;
#%import java.util.Map;
#%import de.hybris.platform.jalo.SessionContext;
#%import de.hybris.platform.jalo.JaloSession;
#%import de.hybris.platform.jalo.c2l.C2LManager;
#%import de.hybris.platform.jalo.type.AttributeDescriptor;
#%import de.hybris.platform.jalo.type.JaloDuplicateQualifierException;
#%import de.hybris.platform.variants.jalo.VariantAttributeDescriptor;
#%import de.hybris.platform.variants.jalo.VariantType;
#%import de.hybris.platform.variants.jalo.VariantsManager;

#%Type stringType = TypeManager.getInstance().getType("java.lang.String");
#%Type locStringType = TypeManager.getInstance().getType("localized:java.lang.String");
#%Map emptyDefaultValue = Collections.EMPTY_MAP;
#%SessionContext en = JaloSession.getCurrentSession().createSessionContext();
#%en.setLanguage(C2LManager.getInstance().getLanguageByIsoCode("en"));
#%SessionContext noLang = JaloSession.getCurrentSession().createSessionContext();
#%noLang.setLanguage(null);
#// Shoes
#%VariantType vt = VariantsManager.getInstance().createVariantType("Shoes");
#%vt.getAttributeDescriptor("code").setUnique(true);
#%vt.getAttributeDescriptor("catalogVersion").setUnique(true);
#%vt.setName(en, "Shoe");
#%VariantAttributeDescriptor vad = vt.createVariantAttributeDescriptor("size", stringType, AttributeDescriptor.READ_FLAG + AttributeDescriptor.WRITE_FLAG + AttributeDescriptor.SEARCH_FLAG);
#%vad.setName(en, "Size");
#%vad.setPosition(0);
#%vad = vt.createVariantAttributeDescriptor("color", locStringType, AttributeDescriptor.READ_FLAG + AttributeDescriptor.WRITE_FLAG + AttributeDescriptor.SEARCH_FLAG);
#%vad.setName(en, "Color");
#%vad.setPosition(1);
#%vad.setDefaultValue(noLang, emptyDefaultValue);



INSERT_UPDATE Tax;code[unique=true];name[lang=de];name[lang=en];value;currency(isocode)
;VAT_FULL;MwSt voll;VAT full;19;
;VAT_HALF;MwSt halb;VAT half;7;

INSERT_UPDATE ProductTaxGroup;code[unique=true];name[lang=de];name[lang=en];
;Tax_Full;voller Steuersatz;full tax rate;
;Tax_Half;halber Steuersatz;half tax rate;

INSERT_UPDATE TaxRow;pg(code)[unique=true];tax(code)[unique=true];value;currency(isocode);
;Tax_Full;VAT_FULL;19;
;Tax_Half;VAT_HALF;7;

#
# Create a catalog
#
INSERT_UPDATE Catalog;id[unique=true];name[lang=en];name[lang=de];
;outdoors;Outdoors;Outdoors

#
# Create a catalog version
#
INSERT_UPDATE CatalogVersion;catalog(id)[unique=true];version[unique=true];active;writePrincipals(uid)[default=productmanagergroup];
;outdoors;Staged;true;productmanagergroup,productmanager;
;outdoors;Online;false;productmanagergroup,productmanager;

#
# Create a category
#
INSERT_UPDATE Category;code[unique=true];allowedPrincipals(uid);$catalogVersion;name[lang=de];name[lang=en];description[lang=de];description[lang=en];$supercategories;
;equipment_0;customergroup;outdoors:Staged;Equipment;Equipment;;;summer:outdoors:Staged;
;equipment_0;customergroup;outdoors:Online;Equipment;Equipment;;;summer:outdoors:Online;



;winter;customergroup;outdoors:Staged;Winter;Winter;;;seasonal:outdoors:Staged;
;winter;customergroup;outdoors:Online;Winter;Winter;;;seasonal:outdoors:Online;



;apparel_0;customergroup;outdoors:Staged;Apparel;Apparel;;;winter:outdoors:Staged;
;apparel_0;customergroup;outdoors:Online;Apparel;Apparel;;;winter:outdoors:Online;



;hats;customergroup;outdoors:Staged;Hats;Hats;;;apparel_0:outdoors:Staged;
;hats;customergroup;outdoors:Online;Hats;Hats;;;apparel_0:outdoors:Online;



;scarves;customergroup;outdoors:Staged;Scarves;Scarves;;;apparel_0:outdoors:Staged;
;scarves;customergroup;outdoors:Online;Scarves;Scarves;;;apparel_0:outdoors:Online;



;equipment_1;customergroup;outdoors:Staged;Equipment;Equipment;;;winter:outdoors:Staged;
;equipment_1;customergroup;outdoors:Online;Equipment;Equipment;;;winter:outdoors:Online;



#
# Create media formats
#
INSERT_UPDATE MediaFormat;qualifier[unique=true];name;

;product;"Product Format";
;thumbnail;"Thumbnail Format";
;515Wx515H;"515Wx515H";
;300Wx300H;"300Wx300H";
;96Wx96H;"96Wx96H";
;65Wx65H;"65Wx65H";



#
# Creating some media
#
INSERT_UPDATE Media;code[unique=true];$catalogVersion;mime;mediaFormat(qualifier);@media[translator=de.hybris.platform.impex.jalo.media.MediaDataTranslator];



;"Ashanti.jpg";outdoors:Staged;image/jpg;product;"Ashanti.jpg";
;"Ashanti.jpg";outdoors:Online;image/jpg;product;"Ashanti.jpg";
;"Ashanti.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Ashanti.thumbnail.jpg";
;"Ashanti.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Ashanti.thumbnail.jpg";



;"Bambara.jpg";outdoors:Staged;image/jpg;product;"Bambara.jpg";
;"Bambara.jpg";outdoors:Online;image/jpg;product;"Bambara.jpg";
;"Bambara.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Bambara.thumbnail.jpg";
;"Bambara.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Bambara.thumbnail.jpg";



;"Jola Blue.jpg";outdoors:Staged;image/jpg;product;"Jola Blue.jpg";
;"Jola Blue.jpg";outdoors:Online;image/jpg;product;"Jola Blue.jpg";
;"Jola Blue.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Jola Blue.thumbnail.jpg";
;"Jola Blue.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Jola Blue.thumbnail.jpg";



;"Jola Blue.jpg";outdoors:Staged;image/jpg;product;"Jola Blue.jpg";
;"Jola Blue.jpg";outdoors:Online;image/jpg;product;"Jola Blue.jpg";
;"Jola Blue.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Jola Blue.thumbnail.jpg";
;"Jola Blue.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Jola Blue.thumbnail.jpg";



;"Jola Green.jpg";outdoors:Staged;image/jpg;product;"Jola Green.jpg";
;"Jola Green.jpg";outdoors:Online;image/jpg;product;"Jola Green.jpg";
;"Jola Green.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Jola Green.thumbnail.jpg";
;"Jola Green.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Jola Green.thumbnail.jpg";



;"Marka Red.jpg";outdoors:Staged;image/jpg;product;"Marka Red.jpg";
;"Marka Red.jpg";outdoors:Online;image/jpg;product;"Marka Red.jpg";
;"Marka Red.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Marka Red.thumbnail.jpg";
;"Marka Red.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Marka Red.thumbnail.jpg";



;"Marka Red.jpg";outdoors:Staged;image/jpg;product;"Marka Red.jpg";
;"Marka Red.jpg";outdoors:Online;image/jpg;product;"Marka Red.jpg";
;"Marka Red.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Marka Red.thumbnail.jpg";
;"Marka Red.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Marka Red.thumbnail.jpg";



;"Marka Blue.jpg";outdoors:Staged;image/jpg;product;"Marka Blue.jpg";
;"Marka Blue.jpg";outdoors:Online;image/jpg;product;"Marka Blue.jpg";
;"Marka Blue.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Marka Blue.thumbnail.jpg";
;"Marka Blue.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Marka Blue.thumbnail.jpg";



;"Tuareg.jpg";outdoors:Staged;image/jpg;product;"Tuareg.jpg";
;"Tuareg.jpg";outdoors:Online;image/jpg;product;"Tuareg.jpg";
;"Tuareg.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Tuareg.thumbnail.jpg";
;"Tuareg.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Tuareg.thumbnail.jpg";



;"Fulani.jpg";outdoors:Staged;image/jpg;product;"Fulani.jpg";
;"Fulani.jpg";outdoors:Online;image/jpg;product;"Fulani.jpg";
;"Fulani.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Fulani.thumbnail.jpg";
;"Fulani.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Fulani.thumbnail.jpg";



;"Edmonton.jpg";outdoors:Staged;image/jpg;product;"Edmonton.jpg";
;"Edmonton.jpg";outdoors:Online;image/jpg;product;"Edmonton.jpg";
;"Edmonton.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Edmonton.thumbnail.jpg";
;"Edmonton.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Edmonton.thumbnail.jpg";



;"Bora Bora.jpg";outdoors:Staged;image/jpg;product;"Bora Bora.jpg";
;"Bora Bora.jpg";outdoors:Online;image/jpg;product;"Bora Bora.jpg";
;"Bora Bora.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Bora Bora.thumbnail.jpg";
;"Bora Bora.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Bora Bora.thumbnail.jpg";



;"Maui.jpg";outdoors:Staged;image/jpg;product;"Maui.jpg";
;"Maui.jpg";outdoors:Online;image/jpg;product;"Maui.jpg";
;"Maui.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Maui.thumbnail.jpg";
;"Maui.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Maui.thumbnail.jpg";



;"Norfolk.jpg";outdoors:Staged;image/jpg;product;"Norfolk.jpg";
;"Norfolk.jpg";outdoors:Online;image/jpg;product;"Norfolk.jpg";
;"Norfolk.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Norfolk.thumbnail.jpg";
;"Norfolk.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Norfolk.thumbnail.jpg";



;"Palau Red.jpg";outdoors:Staged;image/jpg;product;"Palau Red.jpg";
;"Palau Red.jpg";outdoors:Online;image/jpg;product;"Palau Red.jpg";
;"Palau Red.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Palau Red.thumbnail.jpg";
;"Palau Red.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Palau Red.thumbnail.jpg";



;"Palau Red.jpg";outdoors:Staged;image/jpg;product;"Palau Red.jpg";
;"Palau Red.jpg";outdoors:Online;image/jpg;product;"Palau Red.jpg";
;"Palau Red.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Palau Red.thumbnail.jpg";
;"Palau Red.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Palau Red.thumbnail.jpg";



;"Palau Black.jpg";outdoors:Staged;image/jpg;product;"Palau Black.jpg";
;"Palau Black.jpg";outdoors:Online;image/jpg;product;"Palau Black.jpg";
;"Palau Black.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Palau Black.thumbnail.jpg";
;"Palau Black.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Palau Black.thumbnail.jpg";



;"Tupai.jpg";outdoors:Staged;image/jpg;product;"Tupai.jpg";
;"Tupai.jpg";outdoors:Online;image/jpg;product;"Tupai.jpg";
;"Tupai.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Tupai.thumbnail.jpg";
;"Tupai.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Tupai.thumbnail.jpg";



;"Fiji Blue.jpg";outdoors:Staged;image/jpg;product;"Fiji Blue.jpg";
;"Fiji Blue.jpg";outdoors:Online;image/jpg;product;"Fiji Blue.jpg";
;"Fiji Blue.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Fiji Blue.thumbnail.jpg";
;"Fiji Blue.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Fiji Blue.thumbnail.jpg";



;"Fiji Blue.jpg";outdoors:Staged;image/jpg;product;"Fiji Blue.jpg";
;"Fiji Blue.jpg";outdoors:Online;image/jpg;product;"Fiji Blue.jpg";
;"Fiji Blue.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Fiji Blue.thumbnail.jpg";
;"Fiji Blue.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Fiji Blue.thumbnail.jpg";



;"Fiji Red.jpg";outdoors:Staged;image/jpg;product;"Fiji Red.jpg";
;"Fiji Red.jpg";outdoors:Online;image/jpg;product;"Fiji Red.jpg";
;"Fiji Red.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Fiji Red.thumbnail.jpg";
;"Fiji Red.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Fiji Red.thumbnail.jpg";



;"Tahiti.jpg";outdoors:Staged;image/jpg;product;"Tahiti.jpg";
;"Tahiti.jpg";outdoors:Online;image/jpg;product;"Tahiti.jpg";
;"Tahiti.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Tahiti.thumbnail.jpg";
;"Tahiti.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Tahiti.thumbnail.jpg";



;"Tonga.jpg";outdoors:Staged;image/jpg;product;"Tonga.jpg";
;"Tonga.jpg";outdoors:Online;image/jpg;product;"Tonga.jpg";
;"Tonga.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Tonga.thumbnail.jpg";
;"Tonga.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Tonga.thumbnail.jpg";



;"Calgary.jpg";outdoors:Staged;image/jpg;product;"Calgary.jpg";
;"Calgary.jpg";outdoors:Online;image/jpg;product;"Calgary.jpg";
;"Calgary.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Calgary.thumbnail.jpg";
;"Calgary.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Calgary.thumbnail.jpg";



;"Saskatoon Purple.jpg";outdoors:Staged;image/jpg;product;"Saskatoon Purple.jpg";
;"Saskatoon Purple.jpg";outdoors:Online;image/jpg;product;"Saskatoon Purple.jpg";
;"Saskatoon Purple.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Saskatoon Purple.thumbnail.jpg";
;"Saskatoon Purple.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Saskatoon Purple.thumbnail.jpg";



;"Saskatoon Purple.jpg";outdoors:Staged;image/jpg;product;"Saskatoon Purple.jpg";
;"Saskatoon Purple.jpg";outdoors:Online;image/jpg;product;"Saskatoon Purple.jpg";
;"Saskatoon Purple.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Saskatoon Purple.thumbnail.jpg";
;"Saskatoon Purple.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Saskatoon Purple.thumbnail.jpg";



;"Saskatoon Blue.jpg";outdoors:Staged;image/jpg;product;"Saskatoon Blue.jpg";
;"Saskatoon Blue.jpg";outdoors:Online;image/jpg;product;"Saskatoon Blue.jpg";
;"Saskatoon Blue.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Saskatoon Blue.thumbnail.jpg";
;"Saskatoon Blue.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Saskatoon Blue.thumbnail.jpg";



;"Nunavut Orange.jpg";outdoors:Staged;image/jpg;product;"Nunavut Orange.jpg";
;"Nunavut Orange.jpg";outdoors:Online;image/jpg;product;"Nunavut Orange.jpg";
;"Nunavut Orange.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Nunavut Orange.thumbnail.jpg";
;"Nunavut Orange.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Nunavut Orange.thumbnail.jpg";



;"Nunavut Orange.jpg";outdoors:Staged;image/jpg;product;"Nunavut Orange.jpg";
;"Nunavut Orange.jpg";outdoors:Online;image/jpg;product;"Nunavut Orange.jpg";
;"Nunavut Orange.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Nunavut Orange.thumbnail.jpg";
;"Nunavut Orange.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Nunavut Orange.thumbnail.jpg";



;"Nunavut Black.jpg";outdoors:Staged;image/jpg;product;"Nunavut Black.jpg";
;"Nunavut Black.jpg";outdoors:Online;image/jpg;product;"Nunavut Black.jpg";
;"Nunavut Black.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Nunavut Black.thumbnail.jpg";
;"Nunavut Black.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Nunavut Black.thumbnail.jpg";



;"Longirod.jpg";outdoors:Staged;image/jpg;product;"Longirod.jpg";
;"Longirod.jpg";outdoors:Online;image/jpg;product;"Longirod.jpg";
;"Longirod.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Longirod.thumbnail.jpg";
;"Longirod.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Longirod.thumbnail.jpg";



;"Interlaken.jpg";outdoors:Staged;image/jpg;product;"Interlaken.jpg";
;"Interlaken.jpg";outdoors:Online;image/jpg;product;"Interlaken.jpg";
;"Interlaken.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Interlaken.thumbnail.jpg";
;"Interlaken.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Interlaken.thumbnail.jpg";



;"Davos.jpg";outdoors:Staged;image/jpg;product;"Davos.jpg";
;"Davos.jpg";outdoors:Online;image/jpg;product;"Davos.jpg";
;"Davos.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Davos.thumbnail.jpg";
;"Davos.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Davos.thumbnail.jpg";



;"Lake Titicaca Blue.jpg";outdoors:Staged;image/jpg;product;"Lake Titicaca Blue.jpg";
;"Lake Titicaca Blue.jpg";outdoors:Online;image/jpg;product;"Lake Titicaca Blue.jpg";
;"Lake Titicaca Blue.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Lake Titicaca Blue.thumbnail.jpg";
;"Lake Titicaca Blue.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Lake Titicaca Blue.thumbnail.jpg";



;"Lake Titicaca Blue.jpg";outdoors:Staged;image/jpg;product;"Lake Titicaca Blue.jpg";
;"Lake Titicaca Blue.jpg";outdoors:Online;image/jpg;product;"Lake Titicaca Blue.jpg";
;"Lake Titicaca Blue.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Lake Titicaca Blue.thumbnail.jpg";
;"Lake Titicaca Blue.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Lake Titicaca Blue.thumbnail.jpg";



;"Lake Titicaca Orange.jpg";outdoors:Staged;image/jpg;product;"Lake Titicaca Orange.jpg";
;"Lake Titicaca Orange.jpg";outdoors:Online;image/jpg;product;"Lake Titicaca Orange.jpg";
;"Lake Titicaca Orange.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Lake Titicaca Orange.thumbnail.jpg";
;"Lake Titicaca Orange.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Lake Titicaca Orange.thumbnail.jpg";



;"Nairobi Blue.jpg";outdoors:Staged;image/jpg;product;"Nairobi Blue.jpg";
;"Nairobi Blue.jpg";outdoors:Online;image/jpg;product;"Nairobi Blue.jpg";
;"Nairobi Blue.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Nairobi Blue.thumbnail.jpg";
;"Nairobi Blue.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Nairobi Blue.thumbnail.jpg";



;"Nairobi Blue.jpg";outdoors:Staged;image/jpg;product;"Nairobi Blue.jpg";
;"Nairobi Blue.jpg";outdoors:Online;image/jpg;product;"Nairobi Blue.jpg";
;"Nairobi Blue.thumbnail.jpg";outdoors:Staged;image/jpg;thumbnail;"Nairobi Blue.thumbnail.jpg";
;"Nairobi Blue.thumbnail.jpg";outdoors:Online;image/jpg;thumbnail;"Nairobi Blue.thumbnail.jpg";



